"Location","String Value","String Representation","Data Type"
"0137188c","eSID_VertexCombiner4D","\"eSID_VertexCombiner4D\"","ds"
"01370c1c","eSID_VertexConstantVector","\"eSID_VertexConstantVector\"","ds"
"01372360","eSID_VertexConstUVWQ","\"eSID_VertexConstUVWQ\"","ds"
"01371430","eSID_VertexDayTimeGlobal","\"eSID_VertexDayTimeGlobal\"","ds"
"01371f60","eSID_VertexElapseTime","\"eSID_VertexElapseTime\"","ds"
"01370a28","eSID_VertexInvert","\"eSID_VertexInvert\"","ds"
"01370b34","eSID_VertexLinearFresnel","\"eSID_VertexLinearFresnel\"","ds"
"01371140","eSID_VertexMeshParticleConstant","\"eSID_VertexMeshParticleConstant\"","ds"
"013702d0","eSID_VertexModelVertexColor","\"eSID_VertexModelVertexColor\"","ds"
"01370ba8","eSID_VertexMUL","\"eSID_VertexMUL\"","ds"
"01370b8c","eSID_VertexMUL2X","\"eSID_VertexMUL2X\"","ds"
"01370c44","eSID_VertexNormal","\"eSID_VertexNormal\"","ds"
"01371180","eSID_VertexNormal2UV","\"eSID_VertexNormal2UV\"","ds"
"01370a04","eSID_VertexPower","\"eSID_VertexPower\"","ds"
"01370b10","eSID_VertexPowFresnel","\"eSID_VertexPowFresnel\"","ds"
"01371e60","eSID_VertexPulseWave","\"eSID_VertexPulseWave\"","ds"
"0137240c","eSID_VertexRGB2UV","\"eSID_VertexRGB2UV\"","ds"
"01371ef4","eSID_VertexSawWave","\"eSID_VertexSawWave\"","ds"
"01370b58","eSID_VertexSUB","\"eSID_VertexSUB\"","ds"
"013714c0","eSID_VertexSymetricDayTimeGlobal","\"eSID_VertexSymetricDayTimeGlobal\"","ds"
"01372458","eSID_VertexUntransformedNormal","\"eSID_VertexUntransformedNormal\"","ds"
"013721d4","eSID_VertexUV2RGB","\"eSID_VertexUV2RGB\"","ds"
"01371c5c","eSID_VertexUV_Combiner4D","\"eSID_VertexUV_Combiner4D\"","ds"
"01373640","eSID_VertexUVBoxAnim","\"eSID_VertexUVBoxAnim\"","ds"
"013735a4","eSID_VertexUVBoxAnimBlend","\"eSID_VertexUVBoxAnimBlend\"","ds"
"013734a4","eSID_VertexUVBoxAnimBlendPingPong","\"eSID_VertexUVBoxAnimBlendPingPong\"","ds"
"01370810","eSID_VertexUVCivilianProcess","\"eSID_VertexUVCivilianProcess\"","ds"
"013713a8","eSID_VertexUVRamp","\"eSID_VertexUVRamp\"","ds"
"01375ce0","eSID_VertexUVRotate","\"eSID_VertexUVRotate\"","ds"
"01375d1c","eSID_VertexUVScroll","\"eSID_VertexUVScroll\"","ds"
"01375d50","eSID_VertexUVSource","\"eSID_VertexUVSource\"","ds"
"01375b98","eSID_VertexUVToPixelUV","\"eSID_VertexUVToPixelUV\"","ds"
"01375c94","eSID_VertexUVToPixelUVForced","\"eSID_VertexUVToPixelUVForced\"","ds"
"013726a4","eSID_VertexUVViewRotate","\"eSID_VertexUVViewRotate\"","ds"
"013725c4","eSID_VertexUVViewScroll","\"eSID_VertexUVViewScroll\"","ds"
"01370bcc","eSID_VertexVertexColor","\"eSID_VertexVertexColor\"","ds"
"01370aa8","eSID_VertexViewToWorld","\"eSID_VertexViewToWorld\"","ds"
"01373dd4","eSID_ViewPosition","\"eSID_ViewPosition\"","ds"
"013728f4","eSID_VolumeAlpha","\"eSID_VolumeAlpha\"","ds"
"01371668","eSID_VolumeAlphaEx","\"eSID_VolumeAlphaEx\"","ds"
"01372780","eSID_VolumeAmbLightIntensity","\"eSID_VolumeAmbLightIntensity\"","ds"
"013712cc","eSID_VolumeAmbLightIntensityOpt","\"eSID_VolumeAmbLightIntensityOpt\"","ds"
"0137291c","eSID_VolumetricParticle","\"eSID_VolumetricParticle\"","ds"
"01370f38","eSID_VtxWorldPosition","\"eSID_VtxWorldPosition\"","ds"
"01372a58","eSID_WetCoefficient","\"eSID_WetCoefficient\"","ds"
"01372a7c","eSID_WetMultiplier","\"eSID_WetMultiplier\"","ds"
"01372fa4","eSID_Wind_UV1","\"eSID_Wind_UV1\"","ds"
"01370ee8","eSID_WorldPosition","\"eSID_WorldPosition\"","ds"
"0137007c","eSID_WorldSinusFX","\"eSID_WorldSinusFX\"","ds"
"01370024","eSID_WorldSinusFX_VC","\"eSID_WorldSinusFX_VC\"","ds"
"01373b98","eSID_YuvToRGB","\"eSID_YuvToRGB\"","ds"
"013750a0","eSID_ZOffset","\"eSID_ZOffset\"","ds"
